"Advertiser name",Category,Manufacturer,"Product code","Product name","Product description","Product affiliate link","Product link","Product picture","Price without VAT","Price with VAT","Price with discount, with VAT","Price with discount, without VAT",Currency,"Free shipping",Availability,"Gift included",Size,Adult,Color,Gender,Material,Condition,"Energy efficiency class","Shipping cost","Additional product types","Google product category","Expiration date"
Colorcosmetics.ro,lipgloss,"Calvin Klein",CKLIPGLOSSDPF411,"Lip Gloss Calvin Klein Delicious Pout Flavoured - Copper Fusion - PRET REDUS",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Fbuze%2Flipgloss%2Flip-gloss-calvin-klein-delicious-pout-flavoured---copper-fusion---pret-redus.html,http://www.colorcosmetics.ro/buze/lipgloss/lip-gloss-calvin-klein-delicious-pout-flavoured---copper-fusion---pret-redus.html,http://www.colorcosmetics.ro/upload/produse/xxl/produs1944.jpg,35,35,28.00,28.00,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,farduri,"Rimmel London",RIMMELHD-006,"Fard Rimmel Glam Eyes HD - Purple Reign",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Fochi%2Ffarduri%2Ffard-rimmel-glam-eyes-hd---purple-reign.html,http://www.colorcosmetics.ro/ochi/farduri/fard-rimmel-glam-eyes-hd---purple-reign.html,http://www.colorcosmetics.ro/upload/produse/xxl/fard-rimmel-glam-eyes-hd---purple-reign2734.jpg,26,26,16.90,16.90,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,lipgloss,LOreal,LOREALLIPGGS-708,"Lip gloss L Oreal Glam Shine Miss Candy - Marshmallow Twist",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Fbuze%2Flipgloss%2Flip-gloss-l-oreal-glam-shine-miss-candy---marshmallow-twist.html,http://www.colorcosmetics.ro/buze/lipgloss/lip-gloss-l-oreal-glam-shine-miss-candy---marshmallow-twist.html,http://www.colorcosmetics.ro/upload/produse/xxl/lip-gloss-l-oreal-glam-shine-miss-candy---marshmallow-twist2673.jpg,26,26,19.76,19.76,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,rujuri,Maybelline,MAYRUJCS-240,"Ruj Maybelline Colour Sensational - Galactic Mauve",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Fbuze%2Frujuri%2Fruj-maybelline-colour-sensational---galactic-mauve.html,http://www.colorcosmetics.ro/buze/rujuri/ruj-maybelline-colour-sensational---galactic-mauve.html,http://www.colorcosmetics.ro/upload/produse/xxl/ruj-maybelline-colour-sensational---galactic-mauve2930.jpg,24,24,19.44,19.44,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,rujuri,Maybelline,MAYRUJCS-750,"Ruj Maybelline Colour Sensational - Choco Pop",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Fbuze%2Frujuri%2Fruj-maybelline-colour-sensational---choco-pop.html,http://www.colorcosmetics.ro/buze/rujuri/ruj-maybelline-colour-sensational---choco-pop.html,http://www.colorcosmetics.ro/upload/produse/xxl/ruj-maybelline-colour-sensational---choco-pop2932.jpg,24,24,19.44,19.44,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,lipgloss,LOreal,LOREALLIPGGS-186,"Lip gloss L Oreal Glam Shine Fresh - Aqua Grapefruit",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Fbuze%2Flipgloss%2Flip-gloss-loreal-glam-shine-fresh---aqua-grapefruit.html,http://www.colorcosmetics.ro/buze/lipgloss/lip-gloss-loreal-glam-shine-fresh---aqua-grapefruit.html,http://www.colorcosmetics.ro/upload/produse/xxl/lip-gloss-loreal-glam-shine-fresh---aqua-grapefruit2675.jpg,26,26,19.76,19.76,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,"creme si lotiuni","Saffron London",SAFFDEMOF,"Demachiant pentru ochi si fata Saffron",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Ften%2Fcreme-si-lotiuni%2Fdemachiant-pentru-ochi-si-fata-saffron.html,http://www.colorcosmetics.ro/ten/creme-si-lotiuni/demachiant-pentru-ochi-si-fata-saffron.html,http://www.colorcosmetics.ro/upload/produse/xxl/produs1898.jpg,14,14,9.80,9.80,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,"creion de buze","Miss Sporty",MISSS-070,"Creion contur buze retractabil Miss Sporty Mini-Me - Bubble gum",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Fbuze%2Fcreion-de-buze%2Fcreion-contur-buze-retractabil-miss-sporty-mini-me---bubble-gum.html,http://www.colorcosmetics.ro/buze/creion-de-buze/creion-contur-buze-retractabil-miss-sporty-mini-me---bubble-gum.html,http://www.colorcosmetics.ro/upload/produse/xxl/creion-contur-buze-retractabil-miss-sporty-mini-me---bubble-gum2901.jpg,12,12,,,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,farduri,"Cover Girl",CGPEEQ-266,"Fard Cover girl Professional Eye Enhancers Quad - Kilowatts",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Fochi%2Ffarduri%2Ffard-cover-girl-professional-eye-enhancers-quad--kilowatts.html,http://www.colorcosmetics.ro/ochi/farduri/fard-cover-girl-professional-eye-enhancers-quad--kilowatts.html,http://www.colorcosmetics.ro/upload/produse/xxl/produs1891.jpg,14,14,13.30,13.30,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,farduri,"Constance Carroll",CCFRD-96,"Fard Trio  Constance Caroll",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Fochi%2Ffarduri%2Ffard-trio-constance-caroll.html,http://www.colorcosmetics.ro/ochi/farduri/fard-trio-constance-caroll.html,http://www.colorcosmetics.ro/upload/produse/xxl/produs1890.jpg,11,11,8.80,8.80,lei,0,in_stock,0,,,,,,,,,,,
